id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Moonlit Sonata,Classical Minds,classical,peaceful,0.22,66,0.73,0.15,0.98
12,Electric Pulse,Neon Beats,electronic,energetic,0.88,128,0.79,0.85,0.08
13,Dusty Roads,Whiskey Trail,country,melancholic,0.58,100,0.52,0.67,0.87
14,Velvet Dreams,Soul Collective,soul,romantic,0.65,95,0.68,0.72,0.64
15,Cipher Cipher,Beat Breakers,hip-hop,groovy,0.72,104,0.64,0.78,0.22
16,Thunderstrike,Iron Giants,metal,aggressive,0.96,175,0.41,0.71,0.12
17,Morning Mist,Acoustic Wanderers,folk,nostalgic,0.48,88,0.61,0.52,0.91
